Unnamed_1,Melodi,Melodi_link,Komponist,Komponist_link,Levde_når,Levde_når_link,Lyrikk,Lyrikk_link,Levde_når_2,Levde_når_2_link,Når_komponert,Når_komponert_link,Diverse,Diverse_link,Diverse_2,Diverse_2_link,Dublett_,Forlag,Forlag_link,Nr_,Unnamed_13
,MC-valsen,https://musescore.com/user/26911315/scores/7045092,"Svendsen, Kolbjørn",https://no.wikipedia.org/wiki/Kolbjørn_Svendsen,1903 - 1967,,Arne Svendsen,https://no.wikipedia.org/wiki/Arne_Svendsen,1884 - 1958,,,,,,,,,Carl M. Iversen,,,
x,Nå kommer våren igjen,https://musescore.com/user/26911315/scores/10691773,"Svendsen, Kolbjørn",https://no.wikipedia.org/wiki/Kolbjørn_Svendsen,1903 - 1967,,Kolbjørn Svendsen,https://no.wikipedia.org/wiki/Kolbjørn_Svendsen,1903 - 1967,,1934,,1 Premie i Rytmes Slagerkonkurase 1942,,,,2,Harald Henschiens,,,
,Når skogen sover,https://musescore.com/user/26911315/scores/7045374,"Svendsen, Kolbjørn",https://no.wikipedia.org/wiki/Kolbjørn_Svendsen,1903 - 1967,,Kolbjørn Svendsen,https://no.wikipedia.org/wiki/Kolbjørn_Svendsen,1903 - 1967,,,,,,,,,,,,
,Over blånende fjell,https://musescore.com/user/26911315/scores/7045412,"Svendsen, Kolbjørn",https://no.wikipedia.org/wiki/Kolbjørn_Svendsen,1903 - 1967,,Kolbjørn Svendsen,https://no.wikipedia.org/wiki/Kolbjørn_Svendsen,1903 - 1967,,,,På plate allerede 1940.,,,,,,,,
,To må man være,https://musescore.com/user/26911315/scores/7031418,"Svendsen, Kolbjørn",https://no.wikipedia.org/wiki/Kolbjørn_Svendsen,1903 - 1967,,Kolbjørn Svendsen,https://no.wikipedia.org/wiki/Kolbjørn_Svendsen,1903 - 1967,,,,Reklame for Nidar sjokolade,,,,,,,,
,Under måneskinnslampen,https://musescore.com/user/26911315/scores/9377173,"Svendsen, Kolbjørn",https://no.wikipedia.org/wiki/Kolbjørn_Svendsen,1903 - 1967,,Kolbjørn Svendsen,https://no.wikipedia.org/wiki/Kolbjørn_Svendsen,1903 - 1967,,1942,,,,,,,Carl M. Iversen,,239,
,Nidar,https://musescore.com/user/26911315/scores/9641869,"Svendsen, Morten",,1877 - 1952,,,,,,1919,,,,,,,,,,
,Bella-Donna,https://musescore.com/user/26911315/scores/7047456,Sverre Mikkelsen,,,,Sverre Mikkelsen,,,,1947?,,,,,,,,,,
,Beate-Christine,https://musescore.com/user/26911315/scores/7001044,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,Dix Denni,,,,,,,,,,,Norsk Musikforlag,,6445,
,Bland Kobbar og Skär,https://musescore.com/user/26911315/scores/7001055,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,Jokern,,,,,,,,,,,,,,
,Dansen går,https://musescore.com/user/26911315/scores/10660645,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,Herbert Herding-Herberth,https://lokalhistoriewiki.no/wiki/Herbert_Herding-Herberth,1904 - 1958,,1928,,,,,,,Ernst Rolf,,1606,
,De' gör gumman me',https://musescore.com/user/26911315/scores/25198963,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,Herr Dardanell (Torg Bergström),,,,1927,,,,,,,,,,
,"Det är den stora, stora kärleken",https://musescore.com/user/26911315/scores/7012043,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,Gösta Stevens,https://no.wikipedia.org/wiki/Gösta_Stevens,1897 - 1964,,1938,,,,,,,,,,
,"Det är ingen idé i da', Ida",https://musescore.com/user/26911315/scores/7012045,"Sylvain, Jules (Einar Björke)",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,Gösta Stevens,https://no.wikipedia.org/wiki/Gösta_Stevens,1897 - 1964,,1930,,"Fra filmen ""Kronans kavaljerer""",https://sv.wikipedia.org/wiki/Kronans_kavaljerer,,,,Svenska Noter,,17,
,En hvit chrysantheme,https://musescore.com/user/26911315/scores/7013003,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,Rolf Hiorth Schøyen,https://no.wikipedia.org/wiki/Rolf_Hiorth-Schøyen,1887 - 1932,,1929,,,,,,,Edition Sylvain,,477,
,En natt i hamn,https://musescore.com/user/26911315/scores/7268661,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,"Sandberg, Sven-Olof",https://no.wikipedia.org/wiki/Sven-Olof_Sandberg,1905 - 1974,,1929,,,,,,,Edition Sylvain,,8,
,Ett  litet eget hem,https://musescore.com/user/26911315/scores/7277066,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,Sven Paddock,https://sv.wikipedia.org/wiki/Sven_Paddock,1909 - 1982,,1935,,"Fra filmen ""För hennes skull""",https://no.wikipedia.org/wiki/För_hennes_skull,,,2,,,,
,Flyver-valsen,https://musescore.com/user/26911315/scores/13540753,"Sylvain, Jules
Winter, Fred",,"1900 - 1968
1892 - 1945",,Herbert Herding-Herberth,https://lokalhistoriewiki.no/wiki/Herbert_Herding-Herberth,1904 - 1958,,1927,,,,,,,Edition Sylvain,,23,
,Før hennes skull,https://musescore.com/user/26911315/scores/7015114,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,Gösta Stevens,https://no.wikipedia.org/wiki/Gösta_Stevens,1897 - 1964,,1930,,,,,,,,,,
,Hembygdsminnen,https://musescore.com/user/26911315/scores/7282118,"Sylvain, Jules (Sigurd Hannel)",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,"Sandberg, Sven-Olof",https://no.wikipedia.org/wiki/Sven-Olof_Sandberg,1905 - 1974,,1928,,"Fra S/F filmen ""Lärarinna på vift""",https://no.wikipedia.org/wiki/Lærerinne_på_vift,,,,,,,
,Höstserenad,https://musescore.com/user/26911315/scores/7023901,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,"Sandberg, Sven-Olof",https://no.wikipedia.org/wiki/Sven-Olof_Sandberg,1905 - 1974,,1928,,,,,,,Ernst Rolf,,386,
,Jag är inne när gumman min är inne,https://musescore.com/user/26911315/scores/23436901,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,,,,,1926,,,,,,,Edition Sylvain,,66,
,Kärlekens ABC,https://musescore.com/user/26911315/scores/7043715,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,Åke Søderblom-( Sven Paddock),https://sv.wikipedia.org/wiki/Åke_Söderblom,1910 - 1965,,1941,,"Fra filmen ""Med hundra dragspel och en flicka""",https://sv.wikipedia.org/wiki/100_dragspel_och_en_flicka,,,,Edition Sylvain,,2711,
,Med dej kom våren åter till mej,https://musescore.com/user/26911315/scores/7255896,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,"Sandberg, Sven-Olof",https://no.wikipedia.org/wiki/Sven-Olof_Sandberg,1905 - 1974,,1928,,"Fra filmen ""Anna Lans""",https://sv.wikipedia.org/wiki/Anna_Lans,,,,Edition Sylvain,,2540,
,Med hundra dragspel och en flicka,https://musescore.com/user/26911315/scores/7045039,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,Fritz Gustav,https://sv.wikipedia.org/wiki/Fritz_Gustaf_Sundelöf,1895 - 1974,,1945,,,,,,,Edition Sylvain,,191,
,Min längtans melodi,https://musescore.com/user/26911315/scores/7045122,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,"Sandberg, Sven-Olof",https://no.wikipedia.org/wiki/Sven-Olof_Sandberg,1905 - 1974,,1943,,"Fra filmen ""Kära släkten""",https://sv.wikipedia.org/wiki/Kära_släkten,,,,Edition Sylvain,,416,
,När en stjärna från himlen faller,https://musescore.com/user/26911315/scores/7045339,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,S. S. Wilson (Anita Halldén),https://sv.wikipedia.org/wiki/Anita_Halldén,1878 - 1970,,1930,,,,,,,Norsk Notestik og forlag,,250,
,När tvenne hjärtan slå samma slag,https://musescore.com/user/26911315/scores/7352885,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,Gösta Stevens,https://no.wikipedia.org/wiki/Gösta_Stevens,1897 - 1964,,1933,,,,,,,Svenska Noter,,83,
,Om du ångrar dig,https://musescore.com/user/26911315/scores/22355428,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,"Sandberg, Sven-Olof",,1905 - 1974,,1930,,"Fra filmen: ""Räkna de lyckliga stundarna blott""",https://no.wikipedia.org/wiki/Räkna_de_lyckliga_stunderna_blott,,,,,,,
,Rosamunda fra Kristiansunda,https://musescore.com/user/26911315/scores/7064441,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,Per Kvist,https://no.wikipedia.org/wiki/Per_Kvist,1890 - 1947,,1930,,,,,,,,,,
Ingen tekst,Räkna de lyckliga stundarna blott,https://musescore.com/user/26911315/scores/7064539,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,Karl-Ewert Christenson,https://sv.wikipedia.org/wiki/Karl-Ewert_Christenson,1888 - 1965,,1936,,Opus 70,,,,,Carl M. Iversen,,101,
,Säg det i toner,https://musescore.com/user/26911315/scores/16319935,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,Karl-Ewert Christenson,https://sv.wikipedia.org/wiki/Karl-Ewert_Christenson,1888 - 1965,,1929,,"Fra Chat Noir-revyen ""Pus ta'n""",,,,,Carl M. Iversen,,176,
,Si det i toner,,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,Rolf Hiorth Schøyen,https://no.wikipedia.org/wiki/Rolf_Hiorth-Schøyen,1887 - 1932,,1939,,,,,,,Ernst Rolf,,378,
,"Sol ute, sol inne",https://musescore.com/user/26911315/scores/7106298,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,Herbert Herding-Herberth,https://lokalhistoriewiki.no/wiki/Herbert_Herding-Herberth,1904 - 1958,,1942,,,,,,,Norsk Musikforlag,,6193,
,Spåvalsen,https://musescore.com/user/26911315/scores/7454399,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,Nils Gustaf Granath,https://sv.wikipedia.org/wiki/Nils_Gustaf_Granath,1896 - 1937,,1925,,"Fra filmen ""För hennes skull""",https://no.wikipedia.org/wiki/För_hennes_skull,,,,,,,
x,Vintergatan,https://musescore.com/user/26911315/scores/10491154,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,"Sandberg, Sven-Olof",https://no.wikipedia.org/wiki/Sven-Olof_Sandberg,1905 - 1974,,1927,,,,,,2,,,,
,"Åh, Isabell",https://musescore.com/user/26911315/scores/7103118,"Sylvain, Jules",https://sv.wikipedia.org/wiki/Jules_Sylvain,1900 - 1968,,Karl-Ewert Christenson,https://sv.wikipedia.org/wiki/Karl-Ewert_Christenson,1888 - 1965,,1930,,,,,,,Edition Hermani,,172,
,En böljesång i Solnedgång,https://musescore.com/user/26911315/scores/7207518,"Sylvain, Jules
Granath, Nils-Gustaf
Landin, Nils",,"1900 - 1968
1896 - 1937
",,,,,,1929,,,,,,,,,,
,Østenfor sol og vestenfor måne,https://musescore.com/user/26911315/scores/7103078,"Syversen, Rolf",https://no.wikipedia.org/wiki/Rolf_Syversen,1920 - 1987,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,,,,,,,,,,,
,Alle tiders sommer,https://musescore.com/user/26911315/scores/6997727,"Syversen, Rolf",https://no.wikipedia.org/wiki/Rolf_Syversen,1920 - 1987,,Egil Aaeng,,1915 - 1996,,1945,,,,,,,,,,
,Bryggevalsen,https://musescore.com/user/26911315/scores/7012954,"Syversen, Rolf",https://no.wikipedia.org/wiki/Rolf_Syversen,1920 - 1987,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,,,,,,,,,,,
,Du var min første kjærlighet,https://musescore.com/user/26911315/scores/7031409,"Syversen, Rolf",https://no.wikipedia.org/wiki/Rolf_Syversen,1920 - 1987,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,ca 1942,,,,,,,,,,
,Ekko fra Romsdalshorn,https://musescore.com/user/26911315/scores/7705280,"Syversen, Rolf",https://no.wikipedia.org/wiki/Rolf_Syversen,1920 - 1987,,Jens Book Jenssen,https://no.wikipedia.org/wiki/Jens_Book-Jenssen,1910 - 1999,,1942,,,,,,,,,,
,En dag  vil solen skinne,https://musescore.com/user/26911315/scores/7012993,"Syversen, Rolf",https://no.wikipedia.org/wiki/Rolf_Syversen,1920 - 1987,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1945,,,,,,,,,,
,For deg,https://musescore.com/user/26911315/scores/7015098,"Syversen, Rolf",https://no.wikipedia.org/wiki/Rolf_Syversen,1920 - 1987,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1944,,,,,,2,,,,
,Gi meg et hjem,https://musescore.com/user/26911315/scores/7032351,"Syversen, Rolf",https://no.wikipedia.org/wiki/Rolf_Syversen,1920 - 1987,,"Hansen, Juul",https://no.wikipedia.org/wiki/Juul_Hansen,1913 - 1981,,1946,,"Fra filmen ""Englandsfarere""",https://no.wikipedia.org/wiki/Englandsfarere,,,,Musikk-huset,,279,
,"Jeg er fra Romsdalen, Norges Tyrol",https://musescore.com/user/26911315/scores/7705280,"Syversen, Rolf",https://no.wikipedia.org/wiki/Rolf_Syversen,1920 - 1987,,Jens Book Jenssen,https://no.wikipedia.org/wiki/Jens_Book-Jenssen,1910 - 1999,,1942,,,,,,,Harald Lyche Drammen,,,
,Får jag lämna några blommor,https://musescore.com/user/26911315/scores/25701925,"Söderlundh, Lille-Bror",https://no.wikipedia.org/wiki/Lille_Bror_S%C3%B6derlundh,1912 - 1957,,"Ferlin, Nils",https://no.wikipedia.org/wiki/Nils_Ferlin,1898 - 1961,,1942,,,,,,,"Nordisk Musikförlaget, Stockholm",,2246,
,Det rider en rytter,https://musescore.com/user/26911315/scores/7485959,"Sønstevold, Gunnar",https://no.wikipedia.org/wiki/Gunnar_Sønstevold,1912 - 1991,,Sigurd Evensmo,https://no.wikipedia.org/wiki/Sigurd_Evensmo,1912 - 1978,,1946,,Fra Toya-filmen,https://no.wikipedia.org/wiki/Toya,,,,,,,
,Ved skilleveien,https://musescore.com/user/26911315/scores/15263869,"Sønstevold, Gunnar",https://no.wikipedia.org/wiki/Gunnar_Sønstevold,1912 - 1991,,Arne Paasche Aasen,https://no.wikipedia.org/wiki/Arne_Paasche_Aasen,1901 - 1978,,1946,,,,,,,,,,
,Eventyrvisa,https://musescore.com/user/26911315/scores/7015065,"Sønstevold, Maj",https://no.wikipedia.org/wiki/Maj_Sønstevold,1917 - 1996,,Odd Berset & Bergliot T. Farup,,,,1956,,"Fra filmen ""Windjammer""",https://no.wikipedia.org/wiki/Windjammer,,,,,,,
,Forglemmegei,https://musescore.com/user/26911315/scores/7015100,"Tangen, Asbjørn",https://www.nb.no/items/df2678564b1c92b6c46635960e8cb4a7?page=13&searchText=%22Asbjørn%20Tangen%22,1912 - 1993,,Ernst Orvil,https://no.wikipedia.org/wiki/Ernst_Orvil,1898 - 1985,,,,,,,,,Eget forlag,,,
,Kari waits for me,https://musescore.com/user/26911315/scores/7508924,"Terry Gilkyson 
Richard Dehr
Frank Miller",,"1916 - 1999
1913 - 1989
1918 - 2015",,,,,,1957,,,,,,,,,,
,Alene,https://musescore.com/user/26911315/scores/21337720,"Teilman, Kåre",,1907 - 1984?,,"Sørlie, Rolf",,,,1833,,,,,,,Abraham Lundquist,,4251,
,Hvide syrener,https://musescore.com/user/26911315/scores/7022844,Theo Möhrens,,,,Eddy Ernst,,,,1956,,,,,,,,,,
,Bondvals,https://musescore.com/user/26911315/scores/7671509,Theodor Pinet,https://sv.wikipedia.org/wiki/Theodor_Pinet,1875 - 1968,,"Svenning, Göran",https://sv.wikipedia.org/wiki/Göran_Svenning,1870 - 1953,,1909,,1946,,,,,,,,
x?,En prästkrage i min hand,https://musescore.com/user/26911315/scores/7015016,"Thiel, Olof",https://no.wikipedia.org/wiki/Olof_Thiel,1892 - 1978,,Gösta Rybrant,https://no.wikipedia.org/wiki/Gösta_Rybrant,1904 - 1967,,1946,,Arr. Ole Olsen (1923),,,,,,,,
,Hennes melodi,https://musescore.com/user/26911315/scores/7015448,"Thoen, Aage",,1903 - 1993,,,,,,,,,,,,,,,,
,Fra Skriverens Julebal,https://musescore.com/user/26911315/scores/6510308,Thomas Henrik Møinichen,,1758 - 1845,,,,,,,,,,,,,,,,
,Mumblin Mose ,,Thomas W. Thurban,https://nl.wikipedia.org/wiki/Thomas_W._Thurban,1874 - 1967,,,,,,1902,,,,,,,,,,
,Bare dig!,https://musescore.com/user/26911315/scores/7793849,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,,,,,1910,,,,,,,Norsk Musikforlag,,4474,
,Be mine,https://musescore.com/user/26911315/scores/7783589,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,,,,,1912,,,,,,,Hjemmenes Notecentral,,8865,
,Blomsteridyl,https://musescore.com/user/26911315/scores/25669078,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,,,,,1920,,,,,,,Kjell Koren & Co,,13,
,Blue Hill,https://musescore.com/user/26911315/scores/7001058,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,,,,,1924,,Opus 38,,,,,Norsk Musikforlag,,5044,
,De kyss du som roser drysset,https://musescore.com/user/26911315/scores/7517051,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,Magnus Brostrup Landstad,https://no.wikipedia.org/wiki/Magnus_Brostrup_Landstad_(1876-1956),1876 - 1956,,1922,,,,,,,Norsk Musikforlag,,6910,
,Du,https://musescore.com/user/26911315/scores/7041550,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,F. K. (Frithjof Knudsen),,,,1934,https://www.nb.no/items/bd1c14f518c0879562849db3f2f1592f?page=1&searchText=%22Reidar%20Thommessen%22,,,,,,Norsk Musikforlag,,4806,
,Dyveke-vals,https://musescore.com/user/26911315/scores/7525574,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,1918,,,,,,,Haakon Zapffe,,1215,
,Et drömmeslot,https://musescore.com/user/26911315/scores/8347100,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,Jacob Anker-Paulsen,https://no.wikipedia.org/wiki/Jacob_Anker-Paulsen,1890 - 1959,,1913,,,,,,,Norsk Musikforlag,,6942,
,Elsk mig du!,https://musescore.com/user/26911315/scores/20427916,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,Alf Rød,https://no.wikipedia.org/wiki/Alf_Rød,1894 - 1969,,1936,,Opus 81,,,,,Norsk Musikforlag,,7612,
,Fantasi,https://musescore.com/user/26911315/scores/7015068,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,Sverre Ørn,https://www.nb.no/items/97c51899fdeb6aaa6be1a82d63438fae?page=1&searchText=%22Sverre%20Ørn%22%20Halden,1896 - 1962,,1947,,"Fra filmen ""Fantegutten"".",https://no.wikipedia.org/wiki/Fantegutten,,,,Norsk Musikforlag,,6878,
,Fanteguttens lengsel,https://musescore.com/user/26911315/scores/7039368,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,Alf Rød,https://no.wikipedia.org/wiki/Alf_Rød,1894 - 1969,,1932,,,,,,,Norsk Musikforlag,,6942,
,Farvel sommer,https://musescore.com/user/26911315/scores/20381521,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,Jens Book Jenssen,https://no.wikipedia.org/wiki/Jens_Book-Jenssen,1910 - 1999,,1936,,,,,,,Norsk Musikforlag,,4699,
,Flirt,https://musescore.com/user/26911315/scores/7782353,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,,,,,1916,,Kjell Koren & Co A/S Musikforlag. 1920,,,,,Kjell Koren & Co,,21,
,"Først alle, saa en",https://musescore.com/user/26911315/scores/7115459,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,Magnus Brostrup Landstad,https://no.wikipedia.org/wiki/Magnus_Brostrup_Landstad_(1876-1956),1876 - 1956,,1916,,,,,,,Norsk Musikforlag,,4807,
,"Hal topseil, min pige.",https://musescore.com/user/26911315/scores/7791854,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,Magnus Brostrup Landstad,https://no.wikipedia.org/wiki/Magnus_Brostrup_Landstad_(1876-1956),1876 - 1956,,1918,,Opus 48,,,,,Ernst Rolf,,369,
,Husker du vor sidste kveld?,https://musescore.com/user/26911315/scores/7674308,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,Claus Frimann Clasen (Lyktemannen),https://no.wikipedia.org/wiki/Claus_Frimann_Clasen,1894 - 1970,,1925,,Opus 80,,,,,Norsk Musikforlag,,7619,
,Hvorfor nettopp du?,https://musescore.com/user/26911315/scores/7023859,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,Arne Paasche Aasen,https://no.wikipedia.org/wiki/Arne_Paasche_Aasen,1901 - 1978,,1946,,,,,,,Kjell Koren & Co,,5,
,Høststemning,https://musescore.com/user/26911315/scores/8226218,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,"Knudsen, Frithjof",,,,1920,,Opus 30,,,,,Kjell Koren & Co,,6,
,I mine drømme,https://musescore.com/user/26911315/scores/7237782,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,"Knudsen, Frithjof",,,,1920,,Opus 77,,,,,Norsk Musikforlag,,7436,
,Kjærlighetens evangelium,https://musescore.com/user/26911315/scores/12270778,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,"Clasen, Claus Frimann",https://no.wikipedia.org/wiki/Claus_Frimann_Clasen,1894 - 1970,,1944,,Opus 20,,,,,Norsk Musikforlag,,4762,
,La Danseuse,https://musescore.com/user/26911315/scores/7470356,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,,,,,1917,,Opus 1?,,,,,Norsk Musikforlag,,2923,
,Le rêve d'amour,https://musescore.com/user/26911315/scores/23175436,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,,,,,1909,,Opus 60,,,,,Skandinavisk Schlagerforlag,,107,
,"Lille frøken, mitt sværmeri",https://musescore.com/user/26911315/scores/9451504,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,Rolf Hiorth-Schøyen,https://no.wikipedia.org/wiki/Rolf_Hiorth-Schøyen,1887 - 1932,,1930,,"Opus 16, nr. 2",,,,,Musikcentralens forlag,,123,
,Lillebarnet,https://musescore.com/user/26911315/scores/10380820,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,"Knudsen, Frithjof",,,,1925,,,,,,,Haakon Zapffe,,1216,
,Lyn,https://musescore.com/user/26911315/scores/8348810,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,Jacob Anker-Paulsen,https://no.wikipedia.org/wiki/Jacob_Anker-Paulsen,1890 - 1959,,1913,,,,,,,Haakon Zapffe,,1098,
,Min Mor,https://musescore.com/user/26911315/scores/10061449,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,Jermias Hobber,,1876 - 1938,,1912,,Opus 57,,,,,Norsk Musikforlag,,6362,
,Morild,https://musescore.com/user/26911315/scores/7791611,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,Rolf Hiorth-Schøyen,https://no.wikipedia.org/wiki/Rolf_Hiorth-Schøyen,1887 - 1932,,1928,,Opus 50,,,,,Musikcentralens forlag,,118,
,Nuits d'Espagne,https://musescore.com/user/26911315/scores/7229973,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,Rudolf Mjølstad,https://www.nb.no/items/01e50b3ecee9c5fd7594b0686cfbe82d?page=3&searchText=%22Rudolf%20Mjølstad%22,1891 - 1967,,1926,,Opus 36,,,,,Kjell Koren,,39,
,Naar Roserne dør,https://musescore.com/user/26911315/scores/7119405,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,Sverre Øhrn,https://www.nb.no/items/5dff5ecb21a8b837babed0bc8d5f87e5?page=37&searchText=%22Sverre%20Øhrn%22,1896 - 1962,,1922,,,,,,,Norsk Musikforlag,,4767,
,Naar stjernerne blinker,https://musescore.com/user/26911315/scores/7248555,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,,,,,1917,,Opus 68,,,,,Norsk Notestik og Forlag,,1841,
,Når rosene blomstrer igjen,https://musescore.com/user/26911315/scores/20379859,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,"Hagen, Egil",https://no.wikipedia.org/wiki/Egil_Hagen_(1912–2004),1912 - 2004,,1937,,Opus 35,,,,,Kjell Koren,,32,
,Paa Karl Johan,https://musescore.com/user/26911315/scores/23120734/,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,"Mjølstad, Rudolf",,1891 - 1967,,1921,,Opus 4,,,,,Norsk Musikforlag,,4290,
,Primulaveris,https://musescore.com/user/26911315/scores/10583899,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,,,,,1911,,Omtale,https://www.nb.no/items/a93171e1af35c652f88c742ce8c1d75d?page=3&searchText=%22Ring%20julen%20ind%22,,,3,Norsk Musikforlag,,6130,
,Ring Julen ind,https://musescore.com/user/26911315/scores/10650883,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,Rudolf Mjølstad,https://www.nb.no/items/01e50b3ecee9c5fd7594b0686cfbe82d?page=3&searchText=%22Rudolf%20Mjølstad%22,1891 - 1967,,1927,,Opus 54,,,,,Norsk Musikforlag,,5476,
,Sangen til Dig,https://musescore.com/user/26911315/scores/7104400,"Thommessen, Reidar",https://no.wikipedia.org/wiki/Reidar_Thommessen,1889 - 1986,,,,,,1932,,Opus 70,,,,,Norsk Musikforlag,,6922,
